web_scraper_order,web_scraper_start_url,Type,prix,adresse,image
"1767368141-1,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures   enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905416_uploaded_image1_1567528250.24.png"""
"1767368141-2,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures  enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905412_uploaded_image1_1567528198.79.png"""
"1767368141-3,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905410_uploaded_image1_1567528155.93.png"""
"1767368141-4,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905406_uploaded_image1_1567528116.55.png"""
"1767368141-5,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures  enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905401_uploaded_image1_1567528046.76.png"""
"1767368141-6,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905399_uploaded_image1_1567528008.97.png"""
"1767368141-7,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905397_uploaded_image1_1567527975.86.png"""
"1767368141-8,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905394_uploaded_image1_1567527922.13.png"""
"1767368141-9,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905388_uploaded_image1_1567527880.73.png"""
"1767368141-10,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""chaussures  enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905385_uploaded_image1_1567527792.61.png"""
"1767368141-11,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures  enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905383_uploaded_image1_1567527755.2.png"""
"1767368141-12,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905378_uploaded_image1_1567527715.54.png"""
"1767368141-13,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures pour enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905376_uploaded_image1_1567527683.78.png"""
"1767368141-14,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905373_uploaded_image1_1567527650.34.png"""
"1767368141-15,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905369_uploaded_image1_1567527617.39.png"""
"1767368141-16,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905367_uploaded_image1_1567527588.75.png"""
"1767368141-17,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905365_uploaded_image1_1567527559.02.png"""
"1767368141-18,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905363_uploaded_image1_1567527530.77.png"""
"1767368141-19,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905360_uploaded_image1_1567527475.22.png"""
"1767368141-20,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures pour enfant"",""Prix sur demande"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_905353_uploaded_image1_1567527349.0.png"""
"1767368141-21,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Baskets"",""12 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_902727_uploaded_image1_1567471565.75.png"""
"1767368141-22,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures Enfants"",""12 000CFA"",""Dakar, Sénégal"",""https://images.coinafrique.com/thumb_902724_uploaded_image1_1567471369.88.png"""
"1767368141-23,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures enfants"",""10 000CFA"",""Sénégal"",""https://images.coinafrique.com/thumb_894314_uploaded_image1_1567188587.1.png"""
"1767368141-24,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Claquettes enfant"",""8 000CFA"",""Sénégal"",""https://images.coinafrique.com/thumb_894267_uploaded_image1_1567187400.66.png"""
"1767368141-25,""https://sn.coinafrique.com/categorie/chaussures-enfants?page=8"",""Chaussures Baskets"",""15 000CFA"",""Sénégal"",""https://images.coinafrique.com/thumb_894226_uploaded_image1_1567186853.35.png"""
